id,systemNumber,customerId,systemId,systemName,installationNo,systemRole,solutionArea,subSolutionArea,product,productId,productVersion,productCategory,osType,osVersion,database
2198c802-708e-4c9b-8c22-22b4381856a9,000000000311991429,0000190852,GRD,GRC Development System,0020777180,Non-Productive,Data & AI,Data & Analytics Private,NW AS ABAP INNOVATION PACKAGE,73555000100800000331,NetWeaver Application Server for ABAP 7.52,Technology Platform,LINUX_X86_64,,SYBASE
9a9ddc2d-bc32-47d5-be71-584a7dcbdd45,000000000311991429,0000190852,GRD,GRC Development System,0020777180,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,LINUX_X86_64,,SYBASE
ca6db7ce-39b4-4066-9f90-e96f9df393b4,000000000311993287,0000190852,LVX,LVX - LVM Sandbox,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
256ac20b-75bb-422d-9117-36a34cc7fd02,000000000311994596,0000190852,EPD,Netweaver Enterprise Portals Development,0020778103,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,MSSQLSRV
2778b9d1-562a-4350-9fd9-9f16e11f2fac,000000000312107393,0000190852,CRX,CRX - HANA DB Sandbox,0020767153,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,"SAP HANA 1.0, platform edition",Technology Platform,LINUX,11.0,
f51d6449-bbde-482d-a9ca-f9a3bc46357d,000000000312111486,0000190852,BWD,BW 7.5 Development,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,LINUX_X86_64,RHEL7,HDB
56077975-66a3-484e-ae57-f000fa762c22,000000000312112032,0000190852,CRD,CRM HANA Development System,0020767153,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,"SAP HANA 1.0, platform edition",Technology Platform,LINUX,11.0,
21d25d88-e731-4990-b259-216e6183700d,000000000312113781,0000190852,BWD,BWD HANA database,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,SAP HANA platform edition 2.0,Technology Platform,LINUX,11.0,
b6aeba5d-9a7f-403c-9c9b-dfb347a227de,000000000312114505,0000190852,BWX,BW 7.5 Sandbox Linux,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,LINUX_X86_64,RHEL7,HDB
c01ef9fc-c0c9-47fc-9dd4-82c2e131b1b9,000000000312114507,0000190852,BWQ,NW 7.5 Test System,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,LINUX_X86_64,RHEL7,HDB
45659237-adbb-463c-a2d9-bdd93f269521,000000000312114514,0000190852,BWQ,BWQ HANA databse,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,SAP HANA platform edition 2.0,Technology Platform,LINUX,11.0,
d2fc6fad-7e3f-4c8f-8164-85c13ae6a337,000000000312114528,0000190852,BWX,BWX HANA database,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,SAP HANA platform edition 2.0,Technology Platform,LINUX,11.0,
ff4dd15a-5e58-4201-bec9-d51df23ebf1b,000000000312115974,0000190852,CRQ,CRM HANA DB Quality Assurance,0020767153,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,"SAP HANA 1.0, platform edition",Technology Platform,LINUX,11.0,
909e6c19-6a15-4f74-8dec-4901ea898313,000000000312117615,0000190852,ECD,ECC Development HANA DB,0020743951,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,SAP HANA platform edition 2.0,Technology Platform,LINUX_X86_64,RHEL7,
f6481560-f8d5-40ed-b3ff-da53f4d18a70,000000000312117656,0000190852,ECX,ECC Sandbox DB,0020743951,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,"SAP HANA 1.0, platform edition",Technology Platform,LINUX_X86_64,SLES12,
04769c0e-40d1-4a49-a5bd-0b2fdd4f974a,000000000312117656,0000190852,ECX,ECC Sandbox DB,0020743951,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,SAP HANA platform edition 2.0,Technology Platform,LINUX_X86_64,SLES12,
